time,input_base_ax,input_base_ax_g,input_base_vx,base_vx,base_ax,base_ax_g,base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress
1.41,4.99325681886,0.509170493375,-0.00876472093872,-0.00775797435039,4.86375978133,0.495965470505,-0.0141347204852,0,0,0,0,0,0,0,0,0,0
1.42,5.11050571917,0.521126553836,0.0418657307293,0.0428868857292,5.06448600796,0.516433849272,-0.0139590759283,0,0,0,0,0,0,0,0,0,0
1.43,5.04512758885,0.514459839889,0.0927600354009,0.09375879587,5.08719101408,0.518749115557,-0.0132758475203,0,0,0,0,0,0,0,0,0,0
1.44,4.79324243059,0.488774701921,0.142068345959,0.143007470901,4.92486750313,0.502196723971,-0.0120920161864,0,0,0,0,0,0,0,0,0,0
1.45,4.35778966264,0.444370877174,0.187935961154,0.188779144355,4.57716734536,0.466741175158,-0.0104330831101,0,0,0,0,0,0,0,0,0,0
1.46,3.74864343829,0.38225524907,0.228572255645,0.229285508703,4.05063643481,0.413049964546,-0.00834275984486,0,0,0,0,0,0,0,0,0,0
1.47,2.98246872812,0.304127171676,0.262319471767,0.262872465217,3.35869565143,0.342491641022,-0.00588196997526,0,0,0,0,0,0,0,0,0,0
1.48,2.08231553372,0.212337091027,0.287718761315,0.28808607172,2.5213606503,0.257107233387,-0.00312717729057,0,0,0,0,0,0,0,0,0,0
1.49,1.07695860013,0.109819214526,0.303570889218,0.303733102059,1.56470303387,0.159555305213,-0.000168081421672,0,0,0,0,0,0,0,0,0,0
1.5,1.44600997842e-11,1.47451981913e-12,0.308989134747,0.308933756936,0.520065487712,0.053031920963,0.0028952528733,0,0,0,0,0,0,0,0,0,0
1.51,-1.11123841311,-0.113314782634,0.303442148168,0.303164289837,-0.576946709883,-0.0588321914092,0.00595574310717,0,0,0,0,0,0,0,0,0,0
1.52,-2.21699682874,-0.226070761039,0.286784835567,0.286287628365,-1.68766614722,-0.172094053242,0.00890300269818,0,0,0,0,0,0,0,0,0,0
1.53,-3.27649000263,-0.334108997734,0.259275742546,0.258570470739,-2.77171576256,-0.282636350084,0.0116272931937,0,0,0,0,0,0,0,0,0,0
1.54,-4.24940064193,-0.433318273001,0.221579875615,0.220685806479,-3.78846642601,-0.386316063692,0.0140235745798,0,0,0,0,0,0,0,0,0,0
1.55,-5.09739930105,-0.51979007113,0.174756422161,0.173700333196,-4.69854732833,-0.479118488814,0.0159955052782,0,0,0,0,0,0,0,0,0,0
1.56,-5.78563389186,-0.589970468188,0.12023138744,0.119046799361,-5.46535338355,-0.557310945486,0.017459240941,0,0,0,0,0,0,0,0,0,0
1.57,-6.2841314853,-0.640803076005,0.0597557394836,0.0584818753335,-6.05649240272,-0.617590349683,0.0183468843144,0,0,0,0,0,0,0,0,0,0
1.58,-6.56905684628,-0.669857377012,-0.00464978142837,-0.00596927973465,-6.44511550681,-0.657218877681,0.0186094472924,0,0,0,0,0,0,0,0,0,0
1.59,-6.62377608783,-0.67543718679,-0.0707614948465,-0.0720800512143,-6.61107714796,-0.674142255303,0.0182192006377,0,0,0,0,0,0,0,0,0,0
1.6,-6.43967985894,-0.656664595855,-0.136229072664,-0.137498812655,-6.54187614408,-0.667085716741,0.0171713063183,0,0,0,0,0,0,0,0,0,0
1.61,-6.01672841249,-0.61353555113,-0.198658693621,-0.199832174281,-6.23333616261,-0.635623394596,0.0154846513836,0,0,0,0,0,0,0,0,0,0
1.62,-5.36369047885,-0.546944214267,-0.255700131796,-0.256732103228,-5.68999289467,-0.580217800642,0.0132018299961,0,0,0,0,0,0,0,0,0,0
