time_s,acc_base_m_s2,acc_middle_m_s2,acc_surface_m_s2,strain_base,stress_base_pa,strain_middle,stress_middle_pa
2.014,-2.45578928183,-6.52105299182,-15.1430345326,-0.00037933769387,-95231.9377814,-0.000245255389342,-50506.1840189
2.016,-2.4648619147,-6.33368522683,-15.0845335502,-0.000389270172,-96672.9035557,-0.00023820852832,-49393.4242298
2.018,-2.46983412145,-6.15404731379,-15.0179506606,-0.000399030669441,-98016.273981,-0.000231452385353,-48361.5952923
2.02,-2.47077939181,-5.98241509948,-14.9433236212,-0.000408570886682,-99255.9803757,-0.000224997334981,-47411.1470272
2.022,-2.46778652051,-5.81903235497,-14.8607056386,-0.000417844002455,-100386.468932,-0.000218852545379,-46542.2180068
2.024,-2.46095893226,-5.66411005778,-14.7701655042,-0.000426804861085,-101402.720873,-0.000213025951367,-45754.6375425
2.026,-2.45041394675,-5.51782581234,-14.6717876771,-0.000435410151679,-102300.270131,-0.000207524232609,-45047.928968
2.028,-2.4362819876,-5.38032341099,-14.5656723141,-0.00044361857838,-103075.218482,-0.000202352797103,-44421.3142014
2.03,-2.41870573926,-5.25171253725,-14.4519352452,-0.000451391020949,-103724.248068,-0.000197515770022,-43873.7195631
2.032,-2.39783925589,-5.13206861224,-14.3307078946,-0.000458690684985,-104244.631271,-0.00019301598794,-43423.3395629
2.034,-2.3738470268,-5.02210733074,-14.2021371468,-0.000465483241149,-104634.237875,-0.000188880367981,-43059.4031219
2.036,-2.3469030031,-4.92132811649,-14.0663851591,-0.000471736952798,-104891.539532,-0.000185090083581,-42748.5305336
2.038,-2.31718959007,-4.82943836216,-13.9236291184,-0.000477422791491,-105015.61148,-0.000181634129841,-42501.0462794
2.04,-2.28489661047,-4.74637720282,-13.7740609451,-0.000482514539887,-105006.131538,-0.000178510217645,-42322.2205089
2.042,-2.25022024361,-4.67205119773,-13.6178869441,-0.000486988881616,-104863.376387,-0.000175714832706,-42209.41036
2.044,-2.21336194536,-4.60633502241,-13.4553274033,-0.000490825477757,-104588.215152,-0.000173243261599,-42159.752801
2.046,-2.1745273543,-4.54907229218,-13.2866161411,-0.000494007029619,-104182.100337,-0.000171089622729,-42170.1789532
2.048,-2.13392518928,-4.50007651298,-13.1120000055,-0.000496519327594,-103647.056156,-0.000169246902095,-42237.4292217
2.05,-2.0917661435,-4.45913215505,-12.9317383238,-0.000498351285897,-102985.664309,-0.000167706993669,-42358.0691654
2.052,-2.04826178064,-4.42599584445,-12.7461023081,-0.000499494963093,-102201.047308,-0.000166460744211,-42528.5060326
2.054,-2.00362343791,-4.40039766661,-12.555374415,-0.00049994556836,-101296.849402,-0.000165498002292,-42745.0058864
2.056,-1.95806114158,-4.38204257607,-12.3598476653,-0.000499701453507,-100277.215213,-0.000164807671316,-43003.7112421
2.058,-1.91178253975,-4.37061190565,-12.1598249231,-0.000498764090832,-99146.7661999,-0.000164377766279,-43300.6591359
2.06,-1.86499185761,-4.36576496816,-11.9556181385,-0.000497138036976,-97910.5750311,-0.000164195474011,-43631.7995415
2.062,-1.81788887993,-4.3671407432,-11.7475475564,-0.000494830882972,-96574.1380307,-0.000164247216612,-43993.014053
2.064,-1.77066796561,-4.3743596413,-11.5359408938,-0.000491853190779,-95143.3458006,-0.000164518717805,-44380.1347472
2.066,-1.72351709876,-4.38702533732,-11.321132489,-0.000488218416625,-93624.452176,-0.000164995071886,-44788.9631413
2.068,-1.67661698077,-4.40472666459,-11.1034624258,-0.000483942821572,-92024.0416567,-0.000165660814967,-45215.2891594
2.07,-1.63014016753,-4.42703956135,-10.8832756355,-0.000479045369731,-90348.9954715,-0.000166499998177,-45654.9100231
2.072,-1.58425025572,-4.45352906034,-10.6609209808,-0.000473547614668,-88606.4564372,-0.000167496262492,-46115.9828295
2.074,-1.53910112192,-4.48417672855,-10.4367503242,-0.000467473574539,-86803.7927783,-0.000168648914649,-46599.3022889
2.076,-1.49483621788,-4.51858027625,-10.2111175849,-0.00046084959658,-84948.5610781,-0.00016994282462,-47076.7371132
2.078,-1.45158792529,-4.55586591348,-9.98437778741,-0.000453704211613,-83048.4685382,-0.000171345129353,-47539.2990591
2.08,-1.40947697267,-4.5955709847,-9.75688610579,-0.000446067979266,-81111.3347211,-0.000172838428474,-47995.0538597
2.082,-1.36861191728,-4.63723208838,-9.52899690675,-0.000437973324666,-79145.0529587,-0.000174405293552,-48440.1797781
2.084,-1.3290886939,-4.68038715107,-9.30106279529,-0.000429454367382,-77157.5516055,-0.000176028346104,-48870.9857306
2.086,-1.29099023274,-4.72457748036,-9.07343366657,-0.000420546743436,-75156.7553191,-0.000177690334809,-49283.9267977
2.088,-1.25438614794,-4.76934978736,-8.84645576747,-0.000411287421235,-73150.5465487,-0.000179374211569,-49675.6189552
2.09,-1.2193324978,-4.81425816991,-8.62047077134,-0.000401714512305,-71146.7274107,-0.000181063206101,-50042.8529596
2.092,-1.18587161785,-4.85886604738,-8.39581486948,-0.000391867077715,-69152.9821305,-0.000182740898703,-50382.6073292
2.094,-1.1540320271,-4.90274803879,-8.17281788264,-0.000381784931106,-67176.8402229,-0.000184391290886,-50692.0603636
2.096,-1.12382840785,-4.94549177561,-7.95180239591,-0.000371508439274,-65225.6405836,-0.000185998873562,-50968.6011496
2.098,-1.09526165867,-4.98669964151,-7.73308292015,-0.000361078321218,-63306.4966577,-0.000187548692465,-51209.8395088
2.1,-1.0683190203,-5.02599043122,-7.51696508312,-0.000350535446625,-61426.2628459,-0.000189026410548,-51413.614842
2.102,-1.04297427341,-5.06300092141,-7.30374485322,-0.000339920634717,-59591.5023034,-0.000190418367061,-51578.0038369
2.104,-1.01918800702,-5.09738734654,-7.09370779867,-0.000329274454416,-57808.4562803,-0.000191711633055,-51701.3270051
2.106,-0.996907956177,-5.12882677351,-6.88712838487,-0.000318637026747,-56083.015143,-0.000192894063088,-51782.1540246
2.108,-0.976069406862,-5.15701836913,-6.68426931238,-0.000308047830419,-54420.6912111,-0.000193954342888,-51819.3078664
2.11,-0.956595665947,-5.18168455486,-6.4853808979,-0.000297545511471,-52826.5935311,-0.000194882032786,-51811.8676908
2.112,-0.93839859375,-5.20257204429,-6.29070050044,-0.000287167697876,-51305.404705,-0.000195667606735,-51759.1705048
2.114,-0.921379196319,-5.21945275868,-6.10045199459,-0.000276950819966,-49861.359875,-0.000196302486744,-51660.8115778
2.116,-0.905428274351,-5.23212461709,-5.91484529274,-0.000266929937499,-48498.2279621,-0.000196779072592,-51516.6436173
2.118,-0.890427125389,-5.24041219782,-5.73407591775,-0.000257138574175,-47219.2952404,-0.000197090766706,-51326.7747141
2.12,-0.876248295658,-5.24416726867,-5.55832462749,-0.000247608560358,-46038.087508,-0.000197231994107,-51091.5650706
2.122,-0.862756377677,-5.243269184,-5.3883342459,-0.000238385104069,-44951.3335002,-0.000197198217337,-50811.6225322
2.124,-0.84980884957,-5.23762514742,-5.22382078737,-0.000229484761232,-43943.930505,-0.000196985946345,-50487.7969472
2.126,-0.837256951784,-5.22717033929,-5.06469161183,-0.000220927435146,-43024.1935665,-0.000196592743278,-50121.1733852
2.128,-0.824946596768,-5.21186790905,-4.91106525013,-0.000212736785794,-42197.0592418,-0.000196017222194,-49713.0642521
2.13,-0.812719306969,-5.19170883294,-4.7630446696,-0.000204934147356,-41462.7206282,-0.000195259043711,-49265.0003391
2.132,-0.800413176416,-5.16671163826,-4.62071722606,-0.000197538433738,-40820.8444438,-0.000194318904639,-48778.7208565
2.134,-0.787863851011,-5.13692199611,-4.48415466992,-0.000190566056335,-40270.5748848,-0.000193198522655,-48256.1624982
2.136,-0.774905522569,-5.10241218484,-4.35341320573,-0.000184030854385,-39810.5400443,-0.000191900616135,-47699.4475958
2.138,-0.761371931583,-5.06328042746,-4.22853360467,-0.000177944038213,-39438.8608547,-0.000190428879223,-47110.8714189
2.14,-0.747097373661,-5.01965010646,-4.10954136899,-0.000172314145615,-39153.1625085,-0.000188787952309,-46492.8886868
2.142,-0.731917704525,-4.97166886022,-3.99644694732,-0.000167147011558,-38950.5882988,-0.000186983388039,-45848.0993565
2.144,-0.715671338519,-4.91950756584,-3.88924599956,-0.000162445751313,-38827.8158086,-0.000185021613066,-45179.2337587
2.146,-0.698200235566,-4.86335921353,-3.78791970987,-0.00015821075707,-38781.0753694,-0.000182909885707,-44489.1371541
2.148,-0.67935087157,-4.80343767829,-3.69243514596,-0.000154439708035,-38806.170695,-0.000180656249757,-43780.7537847
2.15,-0.658975187375,-4.73997639518,-3.60274566292,-0.000151127593924,-38898.5015924,-0.000178269484657,-43057.1104996
2.152,-0.636931511427,-4.67322694476,-3.51879134941,-0.000148266751719,-39053.0886337,-0.000175759052297,-42321.3000342
2.154,-0.613085451486,-4.60345755572,-3.44049951412,-0.000145846915492,-39264.5996723,-0.0001731350407,-41576.4640237
2.156,-0.587310750816,-4.53095153228,-3.36778520994,-0.000143855279028,-39527.3780708,-0.000170408104877,-40825.7758337
2.158,-0.559490104491,-4.45600561396,-3.30055179354,-0.000142276570925,-39835.472505,-0.000167589405137,-40072.4232914
2.16,-0.529515931623,-4.37892827594,-3.23869151742,-0.000141093141795,-40189.4391887,-0.000164690543163,-39319.5914
2.162,-0.497291099542,-4.30003797826,-3.18245014534,-0.000140294661508,-40585.1957916,-0.000161723496169,-38570.4451203
2.164,-0.462729596166,-4.21966137247,-3.13174101928,-0.000139860124292,-41002.8511522,-0.000158700549451,-37828.1123022
2.166,-0.425757147069,-4.13813147457,-3.0860689765,-0.00013975594536,-41433.1908819,-0.000155634227665,-37103.9784647
2.168,-0.386311774002,-4.05607249497,-3.04528446919,-0.000139955959168,-41875.8497784,-0.000152548007232,-36397.1674158
2.17,-0.344344291898,-3.97360888244,-3.00923009432,-0.000140432219827,-42323.782692,-0.000149446568641,-35697.2228395
2.172,-0.299818741706,-3.89096863414,-2.97774133538,-0.000141155150275,-42769.8898137,-0.000146338486818,-35012.2711193
2.174,-0.252712756674,-3.80849134986,-2.95064731582,-0.000142093699428,-43207.0534735,-0.000143236534036,-34348.2789395
2.176,-0.203017860047,-3.72651379952,-2.92777156075,-0.000143215506541,-43628.1750304,-0.00014015337614,-33707.8185075
2.178,-0.150739692456,-3.64536808281,-2.90893276373,-0.000144487071973,-44026.2116746,-0.000137101503326,-33093.3174591
2.18,-0.0958981676135,-3.5653798174,-2.8939455552,-0.000145873933545,-44394.2129659,-0.000134093162004,-32507.0457692
2.182,-0.0385275552773,-3.48686636471,-2.88262126938,-0.000147340847604,-44725.3569305,-0.000131140288069,-31951.103475
2.184,0.0211411534266,-3.41013510165,-2.87476870627,-0.000148851973941,-45012.9855425,-0.0001282544419,-31427.4092693
2.186,0.082877220845,-3.33548174671,-2.8701948856,-0.000150371063652,-45250.6394191,-0.000125446745404,-30937.6900202
2.188,0.146933688736,-3.26318874846,-2.86870578959,-0.00015186164903,-45432.0915604,-0.000122727821412,-30483.4712645
2.19,0.213220283691,-3.19352374422,-2.87010709145,-0.000153287234575,-45551.3799719,-0.000120107735705,-30066.0687237
2.192,0.281633181213,-3.12673809627,-2.87420486653,-0.000154611488189,-45602.839011,-0.000117595941964,-29686.5808809
2.194,0.352055358308,-3.0630655127,-2.88080628348,-0.000155798431635,-45581.1293052,-0.0001152012299,-29345.8826547
2.196,0.424357015647,-3.00272075953,-2.88972027244,-0.000156812629327,-45481.2660976,-0.000112931676815,-29044.6202014
2.198,0.498396067574,-2.94589847016,-2.90075816775,-0.000157619374553,-45298.6458804,-0.00011079460283,-28783.2068685
2.2,0.574018697883,-2.89277205815,-2.91373432269,-0.000158184872201,-45029.0711878,-0.000108796529991,-28561.8203217
2.202,0.651059978971,-2.84349273818,-2.92846669382,-0.00015847641713,-44668.773426,-0.00010694314545,-28380.4008564
2.204,0.729344551683,-2.79818866026,-2.94477739292,-0.000158462567297,-44214.4336286,-0.000105239268901,-28238.6509041
2.206,0.80868736284,-2.75696416116,-2.96249320434,-0.000158113310808,-43663.2010355,-0.000103688824427,-28141.2776213
2.208,0.888894457181,-2.72007993838,-2.98144606607,-0.000157400226079,-43012.7094022,-0.000102301616804,-28089.6049694
2.21,0.969763820174,-2.68761150937,-3.00147351282,-0.000156296634323,-42261.0909587,-0.000101080486228,-28072.4045444
2.212,1.05108626789,-2.65941070814,-3.02241907969,-0.000154777743615,-41406.987948,-0.000100019860207,-28086.3216311
2.214,1.13264637993,-2.63547967534,-3.04413266514,-0.000152820783841,-40449.5616838,-9.91198192517e-05,-28134.9854157
2.216,1.21422347111,-2.61579481028,-3.06647085236,-0.00015040513185,-39388.4990817,-9.83794757439e-05,-28216.7083051
2.218,1.29559259749,-2.60030678865,-3.08964348006,-0.000147512426214,-38224.0166273,-9.77969746082e-05,-28329.5944269
2.22,1.37652559219,-2.5889407105,-3.1132607139,-0.000144126671002,-36956.8617582,-9.73694988729e-05,-28471.5483809
