time,base_acceleration,integrated_base_velocity
2.228000000000000114e+01,5.094682788122639749e-02,2.042523345806334101e-01
2.228999999999999915e+01,3.182570503890325142e-02,2.050073065614856915e-01
2.230000000000000071e+01,1.283430080303205045e-02,2.055717159069473388e-01
2.230999999999999872e+01,-6.012421125040745551e-03,2.059469346215891949e-01
2.232000000000000028e+01,-2.469976085412994848e-02,2.061344830279453477e-01
2.233000000000000185e+01,-4.321329312823252167e-02,2.061360270742853551e-01
2.233999999999999986e+01,-6.153887781015576763e-02,2.059533755358454732e-01
2.235000000000000142e+01,-7.966267001652127533e-02,2.055884771129639077e-01
2.235999999999999943e+01,-9.757112989741933973e-02,2.050434174296461576e-01
2.237000000000000099e+01,-1.152510320544823941e-01,2.043204159361383665e-01
2.237999999999999901e+01,-1.326894745912579054e-01,2.034218227191618711e-01
2.239000000000000057e+01,-1.498738877905534395e-01,2.023501152235045453e-01
2.240000000000000213e+01,-1.667920424133590984e-01,2.011078948887365936e-01
2.241000000000000014e+01,-1.834320576148051885e-01,1.996978837048480893e-01
2.242000000000000171e+01,-1.997824084727142235e-01,1.981229206906620632e-01
2.242999999999999972e+01,-2.158319331247344763e-01,1.963859582989271324e-01
2.244000000000000128e+01,-2.315698395107315122e-01,1.944900587520013158e-01
2.244999999999999929e+01,-2.469857117170164429e-01,1.924383903121150707e-01
2.246000000000000085e+01,-2.620695159199755153e-01,1.902342234901817086e-01
2.246999999999999886e+01,-2.768116059265537388e-01,1.878809271972013972e-01
2.248000000000000043e+01,-2.912027283098375108e-01,1.853819648422710964e-01
2.249000000000000199e+01,-3.052340271381233094e-01,1.827408903812827168e-01
2.250000000000000000e+01,-3.188970482964421649e-01,1.799613443203623708e-01
2.251000000000000156e+01,-3.321837433998133804e-01,1.770470496781324510e-01
2.251999999999999957e+01,-3.450864732978953242e-01,1.740018079108965887e-01
2.253000000000000114e+01,-3.575980111711949405e-01,1.708294948048024731e-01
2.253999999999999915e+01,-3.697115452192551999e-01,1.675340563391027882e-01
2.255000000000000071e+01,-3.814206809417797217e-01,1.641195045245491535e-01
2.255999999999999872e+01,-3.927194430138669645e-01,1.605899132210234503e-01
2.257000000000000028e+01,-4.036022767571232350e-01,1.569494139384198794e-01
